"","Date","Round","Day","Year","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket","Rain","rain.prior.day","rain.2days.prior","rain.3days.prior","rain.past.three.days","Home.Injuries.top5","Home.Injuries.top10","Home.Injuries.top25","Home.Injuries.top50","Home.Injuries.Total","Home.Rating.Points.Missing","Away.Injuries.top5","Away.Injuries.top10","Away.Injuries.top25","Away.Injuries.top50","Away.Injuries.Total","Away.Rating.Points.Missing","Total.Injuries.top5","Total.Injuries.top10","Total.Injuries.top25","Total.Injuries.top50","Total.Injuries.Total","Total.Rating.Points.Missing"
"83",2015-04-18,3,"Sat",2015,"Adelaide","Melbourne",43713,"Adelaide",1.08,8.24,"170.5",1.08,8.24,7.16,43516.4,196.599999999999,46719.6666666667,-3006.66666666666,-0.0643554819883132,1,"1.4","14.4","0","0","14.4",0,0,0,1,1,69.5833333333333,0,0,1,1,1,92.3125,0,0,1,2,2,161.895833333333
"84",2015-04-25,4,"Sat",2015,"Port Adelaide","Hawthorn",49831,"Adelaide",2.43,1.56,"188.5",1.56,2.43,0.87,43516.4,6314.6,40427.5357142857,9403.46428571428,0.232600481814463,7,"21.2","1.2","0","0","1.2",1,1,2,2,2,207.813186813186,0,0,0,0,0,0,1,1,2,2,2,207.813186813186
"85",2015-05-03,5,"Sun",2015,"Adelaide","Port Adelaide",49617,"Adelaide",2.28,1.63,"182.5",1.63,2.28,0.65,43516.4,6100.6,46719.6666666667,2897.33333333334,0.0620152826432838,4,"0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2015-05-10,6,"Sun",2015,"Port Adelaide","West Coast",38508,"Adelaide",1.24,4.21,"179.5",1.24,4.21,2.97,43516.4,-5008.4,40427.5357142857,-1919.53571428572,-0.0474808983622373,4,"10","7","1","5.6","13.6",0,0,0,1,1,70,0,0,0,0,0,0,0,0,0,1,1,70
"87",2015-05-16,7,"Sat",2015,"Adelaide","St Kilda",43532,"Adelaide",1.22,4.36,"189.5",1.22,4.36,3.14,43516.4,15.5999999999985,46719.6666666667,-3187.66666666666,-0.0682296534649933,1,"0","4.2","0.6","5.4","10.199999999999999",0,1,1,1,1,104.722222222222,0,0,0,0,0,0,0,1,1,1,1,104.722222222222
"88",2015-05-24,8,"Sun",2015,"Port Adelaide","Richmond",44451,"Adelaide",1.34,3.3,"182.5",1.34,3.3,1.96,43516.4,934.599999999999,40427.5357142857,4023.46428571428,0.0995228676353015,4,"0","0.2","2.2000000000000002","11.2","13.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2015-05-30,9,"Sat",2015,"Adelaide","Fremantle",45518,"Adelaide",3.58,1.3,"166.5",1.3,3.58,2.28,43516.4,2001.6,46719.6666666667,-1201.66666666666,-0.0257207885330232,7,"0.2","5.2","0","0","5.2",0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,1,22
"90",2015-06-06,10,"Sat",2015,"Port Adelaide","Western Bulldogs",40907,"Adelaide",1.23,4.13,"171.5",1.23,4.13,2.9,43516.4,-2609.4,40427.5357142857,479.464285714283,0.0118598444659801,7,"0.2","1.2","0.4","0","1.6",0,0,0,0,0,0,0,1,2,2,2,202.95238095238,0,1,2,2,2,202.95238095238
"91",2015-06-12,11,"Fri",2015,"Port Adelaide","Geelong",46140,"Adelaide",1.44,2.79,"171.5",1.44,2.79,1.35,43516.4,2623.6,40427.5357142857,5712.46428571428,0.141301323090432,7,"0","0","1.4","1.6","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2015-06-18,12,"Thu",2015,"Adelaide","Hawthorn",49108,"Adelaide",2.99,1.4,"184.5",1.4,2.99,1.59,43516.4,5591.6,46719.6666666667,2388.33333333334,0.051120513131515,7,"5.8","0.6","4.5999999999999996","3.2","8.4",0,0,0,1,1,72.6666666666666,0,0,0,0,0,0,0,0,0,1,1,72.6666666666666
"93",2015-07-09,15,"Thu",2015,"Port Adelaide","Collingwood",44496,"Adelaide",1.81,2,"162.5",1.81,2,0.19,43516.4,979.599999999999,40427.5357142857,4068.46428571428,0.100635970356131,7,"0","4.8","3.2","5.4","13.4",0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,1,52
